time,w0,w1,w2,w3,p1,p2,p3
10:15:31,881.4384543,886.8157312,868.7485341,888.6961406,186.8,189.36,186.53
10:15:33,882.5700859,886.3830722,868.5977551,892.6215966,187.02,189.54,186.14
10:15:35,880.9010686,884.7267995,867.7701458,890.1103621,187.02,189.43,186.26
10:15:37,882.4262628,887.0286806,869.4990786,890.6753899,186.91,189.39,186.39
10:15:40,881.3080101,885.7070425,867.6026135,890.5233941,186.94,189.51,186.26
10:15:42,881.2678734,885.6360594,867.0363545,891.0322495,186.94,189.58,186.18
10:15:44,881.247805,886.0991398,869.6130005,887.9791171,186.87,189.21,186.61
10:15:46,881.986989,885.9470331,868.815547,891.1049432,187,189.43,186.27
10:15:48,881.502004,885.1087563,868.8323002,890.470526,187.05,189.36,186.29
10:15:50,881.4685568,886.8055908,867.2910035,890.2326196,186.81,189.57,186.32
10:15:52,880.5543323,885.6867616,864.8316301,891.0421623,186.83,189.79,186.07
10:15:54,881.8108336,886.1160405,868.560898,890.6687814,186.95,189.44,186.31
10:15:56,882.3727472,887.106424,869.3181437,890.6192176,186.89,189.41,186.39
10:15:58,881.4629823,886.4168737,866.8956274,890.98599,186.86,189.63,186.21
10:16:00,882.3983901,888.019064,870.3802982,888.7556172,186.77,189.26,186.66
10:16:02,881.6246439,886.6501039,868.306249,889.8460217,186.85,189.45,186.4
10:16:04,882.1754085,885.1391776,869.070196,892.2019561,187.14,189.42,186.14
10:16:06,882.0471941,885.832108,870.4607137,889.773328,187.03,189.2,186.47
10:16:08,881.5243022,886.582501,867.3881722,890.5200899,186.85,189.57,186.29
10:16:10,881.6068054,886.2242052,867.579159,890.9265133,186.91,189.55,186.24
10:16:12,880.9467799,885.9875949,867.9979896,888.7886598,186.85,189.4,186.45
10:16:14,882.7863781,886.673765,869.9849221,891.6104943,187.01,189.38,186.31
10:16:16,881.8465106,885.784786,869.8508963,889.8261961,187,189.26,186.43
10:16:18,881.7651223,885.1493181,868.9227676,891.1214644,187.08,189.38,186.24
10:16:20,882.810906,885.5718366,870.8326353,891.9243986,187.17,189.26,186.27
10:16:22,880.956814,885.8219676,867.9510806,889.0265662,186.87,189.41,186.42
10:16:24,882.5700859,886.3864524,870.4037527,890.8372984,187.02,189.29,186.39
10:16:26,882.7317476,887.47148,868.7351315,891.9012688,186.89,189.54,186.26
10:16:28,882.302508,885.7915462,869.3281957,891.6864922,187.07,189.4,186.23
10:16:30,882.7919526,886.7244672,868.7518847,892.7934179,187.01,189.55,186.15
10:16:32,882.4017348,887.3768358,867.8371587,891.9012688,186.86,189.63,186.22
10:16:34,882.0349301,885.9706941,868.2760931,891.7558816,187,189.51,186.18
10:16:36,882.2612564,886.6703848,866.6711342,893.3254031,186.94,189.77,185.99
